2017.09.10 19:53:44.530   Stuff found, idx:18
2017.09.10 19:53:44.793   Player found, idx:3
2017.09.10 19:53:44.794   Stuff found, idx:27
2017.09.10 19:53:44.896   Player found, idx:1
2017.09.10 19:53:44.897   Stuff found, idx:18
2017.09.10 19:53:45.179   Player found, idx:3
2017.09.10 19:53:45.180   Stuff found, idx:27
2017.09.10 19:53:45.262   Player found, idx:1
2017.09.10 19:53:45.546   Player found, idx:3
2017.09.10 19:53:45.546   Stuff found, idx:27
2017.09.10 19:53:45.645   Player found, idx:1
2017.09.10 19:53:45.930   Player found, idx:3
2017.09.10 19:53:45.931   Stuff found, idx:27
2017.09.10 19:53:46.014   Player found, idx:1
2017.09.10 19:53:46.296   Player found, idx:3
2017.09.10 19:53:46.297   Stuff found, idx:27
2017.09.10 19:53:46.470   Player found, idx:1
2017.09.10 19:53:46.679   Player found, idx:3
2017.09.10 19:53:46.679   Stuff found, idx:27
2017.09.10 19:53:46.762   Player found, idx:1
2017.09.10 19:53:47.045   Player found, idx:3
2017.09.10 19:53:47.046   Stuff found, idx:27
2017.09.10 19:53:47.145   Player found, idx:1
2017.09.10 19:53:47.429   Player found, idx:3
2017.09.10 19:53:47.430   Stuff found, idx:27
2017.09.10 19:53:47.512   Player found, idx:1
2017.09.10 19:53:47.832   Player found, idx:3
2017.09.10 19:53:47.832   Stuff found, idx:27
2017.09.10 19:53:47.896   Player found, idx:1
2017.09.10 19:53:48.177   Player found, idx:3
2017.09.10 19:53:48.177   Stuff found, idx:27
2017.09.10 19:53:48.262   Player found, idx:1
2017.09.10 19:53:48.545   Player found, idx:3
2017.09.10 19:53:48.546   Stuff found, idx:27
2017.09.10 19:53:48.645   Player found, idx:1
2017.09.10 19:53:48.930   Player found, idx:3
2017.09.10 19:53:48.930   Stuff found, idx:27
2017.09.10 19:53:49.012   Player found, idx:1
2017.09.10 19:53:49.295   Player found, idx:3
2017.09.10 19:53:49.296   Stuff found, idx:27
2017.09.10 19:53:49.396   Player found, idx:1
2017.09.10 19:53:49.679   Player found, idx:3
2017.09.10 19:53:49.679   Stuff found, idx:27
2017.09.10 19:53:49.762   Player found, idx:1
2017.09.10 19:53:50.044   Player found, idx:3
2017.09.10 19:53:50.044   Stuff found, idx:27
2017.09.10 19:53:50.146   Player found, idx:1
